,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
5531,UFC 201: Lawler vs. Woodley,Jul 2016,Erik Perez,Francisco Rivera,-105.0,-135.0
5532,UFC 201: Lawler vs. Woodley,Jul 2016,Fredy Serrano,Ryan Benoit,-140.0,100.0
5533,UFC 201: Lawler vs. Woodley,Jul 2016,Jake Ellenberger,Matt Brown,250.0,-350.0
5534,UFC 201: Lawler vs. Woodley,Jul 2016,Jorge Masvidal,Ross Pearson,-260.0,180.0
5535,UFC 201: Lawler vs. Woodley,Jul 2016,Karolina Kowalkiewicz,Rose Namajunas,190.0,-270.0
5539,UFC 201: Lawler vs. Woodley,Jul 2016,Robbie Lawler,Tyron Woodley,-280.0,200.0
5544,UFC 201: Lawler vs. Woodley,Jul 2016,Wilson Reis,Hector Sandoval,-315.0,235.0
5545,UFC 277: Pena vs. Nunes 2,Jul 2022,Alex Morono,Matthew Semelsberger,-110.0,-110.0
5546,UFC 277: Pena vs. Nunes 2,Jul 2022,Alex Perez,Alexandre Pantoja,235.0,-275.0
5547,UFC 277: Pena vs. Nunes 2,Jul 2022,Amanda Nunes,Julianna Pena,-250.0,210.0
5548,UFC 277: Pena vs. Nunes 2,Jul 2022,Anthony Smith,Magomed Ankalaev,300.0,-400.0
5549,UFC 277: Pena vs. Nunes 2,Jul 2022,Brandon Moreno,Kai Kara-France.,-160.0,140.0
5550,UFC 277: Pena vs. Nunes 2,Jul 2022,Derrick Lewis,Sergei Pavlovich,-115.0,-105.0
5551,UFC 277: Pena vs. Nunes 2,Jul 2022,Drakkar Klose,Rafa Garcia,-185.0,160.0
5552,UFC 277: Pena vs. Nunes 2,Jul 2022,Drew Dober,Rafael Alves,-300.0,250.0
5553,UFC 277: Pena vs. Nunes 2,Jul 2022,Ji Yeon Kim,Joselyne Edwards.,-150.0,130.0
5554,UFC 277: Pena vs. Nunes 2,Jul 2022,Ji Yeon Kim,Mariya Agapova,165.0,-200.0
5559,UFC 277: Pena vs. Nunes 2,Jul 2022,Michael Morales,Adam Fugitt,-500.0,385.0
5560,UFC 277: Pena vs. Nunes 2,Jul 2022,Nicolae Negumereanu,Ihor Potieria,170.0,-200.0
5561,UFC 277: Pena vs. Nunes 2,Jul 2022,Orion Cosce,Blood Diamond,-150.0,130.0
5562,UFC 277: Pena vs. Nunes 2,Jul 2022,Orion Cosce,Mike Mathetha,-188.0,140.0
5566,UFC,Jul 2023,Alex Pereira,Jan Brachowicz,128.0,-164.0
5567,UFC,Jul 2023,Claudio Ribeiro,Roman Kopylov,170.0,-200.0
5568,UFC,Jul 2023,Conor McGregor,Ronda Rousey,-450.0,350.0
5569,UFC,Jul 2023,Darrius Flowers,Jake Matthews,250.0,-333.0
5570,UFC,Jul 2023,Derrick Lewis,Marcos Rogerio,-128.0,100.0
5571,UFC,Jul 2023,Dustin Poirier,Justin Gaethje,105.0,-125.0
5572,UFC,Jul 2023,Gabriel Bonfim,Trevin Giles,-275.0,225.0
5574,UFC,Jul 2023,Kevin Holland,Michael Chiesa,-186.0,144.0
5575,UFC,Jul 2023,Michel Pereira,Stephen Thompson,125.0,-150.0
5579,UFC,Jul 2023,Tony Ferguson,Bobby Green,240.0,-350.0
5581,UFC,Jul 2023,Vinicius Salvador,C.J. Vergara,150.0,-175.0
5582,UFC on ESPN: Hall vs. Strickland,Jul 2021,Ashley Yoder,Jinh Yu Frey,-140.0,120.0
5583,UFC on ESPN: Hall vs. Strickland,Jul 2021,Bryan Barberena,Jason Witt,-200.0,170.0
5584,UFC on ESPN: Hall vs. Strickland,Jul 2021,Chris Gruetzemacher,Rafa Garcia,150.0,-175.0
5585,UFC on ESPN: Hall vs. Strickland,Jul 2021,Collin Anglin,Melsik Baghdasaryan,-160.0,140.0
5586,UFC on ESPN: Hall vs. Strickland,Jul 2021,Danny Chavez,Kai Kamaka Iii.,-110.0,-110.0
5587,UFC on ESPN: Hall vs. Strickland,Jul 2021,Jared Gooden,Niklas Stolze,-130.0,110.0
5590,UFC on ESPN: Hall vs. Strickland,Jul 2021,Kyung Ho Kang,Rani Yahya,-150.0,110.0
5593,UFC on ESPN: Hall vs. Strickland,Jul 2021,Orion Cosce,Phillip Rowe,-185.0,160.0
5596,UFC on ESPN: Hall vs. Strickland,Jul 2021,Ryan Benoit,Zarrukh Adashev,-140.0,120.0
5597,UFC on ESPN: Hall vs. Strickland,Jul 2021,Sean Strickland,Uriah Hall,-180.0,155.0
5599,UFC,Jul 2023,Brock Lesnar,Ronda Rousey,,
5600,UFC 116: Lesnar vs. Carwin,Jul 2010,Brendan Schaub,Chris Tuchscherer,-290.0,230.0
5601,UFC 116: Lesnar vs. Carwin,Jul 2010,Brock Lesnar,Shane Carwin,-225.0,175.0
5602,UFC 116: Lesnar vs. Carwin,Jul 2010,Chris Leben,Yoshihiro Akiyama,255.0,-335.0
5603,UFC 116: Lesnar vs. Carwin,Jul 2010,Chris Lytle,Matt Brown,-190.0,150.0
